metrics,sum_values,median,mean,length,standard_deviation,variance,maximum,minimum
tikv_engine_num_files_at_level:kv:avg:default:0,3574.6666666666665,1.3333333333333337,1.5548789328693635,2299.0,0.7797065734714891,0.6079423407146506,3.333333333333333,0.0
tikv_engine_num_files_at_level:kv:avg:default:1,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:default:2,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:default:3,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:default:4,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:default:5,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:default:6,25079.333333333336,10.0,10.908800927939685,2299.0,1.5309370258226054,2.3437681770345646,14.0,6.0
tikv_engine_num_files_at_level:kv:avg:lock:0,36.333333333333336,0.0,0.015803972741771786,2299.0,0.1621964083406777,0.026307674878615857,3.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:1,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:2,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:3,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:4,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:5,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:lock:6,896.0,0.3333333333333333,0.389734667246629,2299.0,0.38916749404802947,0.15145133842362304,1.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:0,0.6666666666666666,0.0,0.0002899811512251703,2299.0,0.009827323881589412,9.657629467365756e-05,0.3333333333333333,0.0
tikv_engine_num_files_at_level:kv:avg:raft:1,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:2,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:3,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:4,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:5,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:raft:6,2299.0,1.0,1.0,2299.0,0.0,0.0,1.0,1.0
tikv_engine_num_files_at_level:kv:avg:ver_default:0,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:1,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:2,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:3,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:4,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:5,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:ver_default:6,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:0,3265.1666666666665,1.6666666666666667,1.420255183413078,2299.0,0.5486315880718712,0.3009966194302633,7.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:1,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:2,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:3,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:4,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:5,5286.833333333334,0.0,2.2996230245034077,2299.0,3.0433430519709175,9.261936931979658,7.0,0.0
tikv_engine_num_files_at_level:kv:avg:write:6,40404.333333333336,11.666666666666666,17.57474264172829,2299.0,8.018420267021936,64.29506357858814,28.0,7.0
tikv_raftstore_region_count:avg_type:leader,125020.16666666664,53.66666666666666,52.70664699269251,2372.0,16.86376448745622,284.3865526883895,76.0,0.0
tikv_raftstore_region_count:avg_type:region,384699.8333333334,152.0,162.18374086565487,2372.0,15.363971556857566,236.05162199992827,181.0,73.0
tidb_tikvclient_gc_config:172.17.16.11:tikv_gc_life_time,1282800.0,600.0,600.0,2138.0,0.0,0.0,600.0,600.0
tidb_tikvclient_gc_config:172.17.16.11:tikv_gc_run_interval,1282800.0,600.0,600.0,2138.0,0.0,0.0,600.0,600.0
tikv_engine_pending_compaction_bytes:avg_db:kv,1092518780.1666665,0.0,460589.704960652,2372.0,4420112.661572919,19537395940997.24,92743526.06666666,0.0
tikv_engine_pending_compaction_bytes:avg_db:raft,4048478636.833333,0.0,1706778.5146852164,2372.0,26782881.3783275,717322734925561.9,628548403.6666666,0.0
tikv_engine_estimate_num_keys:avg_cf_db:default:kv,3703456882.166667,1673860.0,1561322.4629707702,2372.0,225844.66333300748,51005811955.99949,1890960.5,1252092.0
tikv_engine_estimate_num_keys:avg_cf_db:default:raft,335007421.1666666,86805.5,141234.15732152894,2372.0,224285.2726537426,50303883529.36366,1560787.0,2319.0
tikv_engine_estimate_num_keys:avg_cf_db:lock:kv,16525327.666666666,239.16666666666666,6966.832911748173,2372.0,13921.099585573133,193797013.67144445,61867.5,0.0
tikv_engine_estimate_num_keys:avg_cf_db:raft:kv,550813528.3333334,253558.0,232214.809584036,2372.0,290356.8596338154,84307105936.4112,1807099.3333333333,3203.0
tikv_engine_estimate_num_keys:avg_cf_db:ver_default:kv,0.0,0.0,0.0,2372.0,0.0,0.0,0.0,0.0
tikv_engine_estimate_num_keys:avg_cf_db:write:kv,51622238109.83333,15162291.666666668,21763169.523538504,2372.0,8631569.88097435,74503998610143.56,33097311.0,12696267.666666666
tikv_store_size_bytes:avg_tpye:available,77896844168533.33,33640183125.33333,32840153528.049465,2372.0,1167942645.866365,1.3640900240333253e+18,34606183765.333336,30259539968.0
tikv_store_size_bytes:avg_tpye:capacity,125185501478912.0,52776349696.0,52776349696.0,2372.0,0.0,0.0,52776349696.0,52776349696.0
tikv_engine_size_bytes:avg_db_type:kv:default,1231471368738.6665,449317102.0,519170054.27431136,2372.0,97066588.51475762,9421922605893276.0,755145441.6666666,355831459.0
tikv_engine_size_bytes:avg_db_type:kv:lock,18550033832.0,5222413.333333334,7820418.9848229345,2372.0,6301724.398196121,39711730390820.266,31543936.666666668,3670784.0
tikv_engine_size_bytes:avg_db_type:kv:raft,67827216545.666664,29905488.666666668,28594947.9534851,2372.0,17452924.739202935,304604581952281.8,123446520.66666669,14889886.0
tikv_engine_size_bytes:avg_db_type:kv:ver_default,1802720.0,760.0,760.0,2372.0,0.0,0.0,760.0,760.0
tikv_engine_size_bytes:avg_db_type:kv:write,1534540233842.5,348987113.75,646939390.3214587,2372.0,397867190.9322828,1.5829830162034557e+17,1183290274.3333333,222816692.66666663
tikv_engine_size_bytes:avg_db_type:raft:default,1461019913117.0,619160653.6666666,615944314.1302698,2372.0,299475366.1525301,8.968549493219197e+16,1105702791.0,50653035.66666666
tikv_engine_num_files_at_level:raft:avg:default:0,3490.166666666667,1.0,1.5174637681159422,2300.0,1.2085731765529903,1.4606491230833858,3.6666666666666665,0.0
tikv_engine_num_files_at_level:raft:avg:default:1,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:raft:avg:default:2,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:raft:avg:default:3,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:raft:avg:default:4,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
tikv_engine_num_files_at_level:raft:avg:default:5,25724.166666666664,9.333333333333334,11.18442028985507,2300.0,8.252325760719678,68.1008804610376,32.333333333333336,0.0
tikv_engine_num_files_at_level:raft:avg:default:6,74834.16666666666,14.333333333333334,32.53659420289855,2300.0,27.694545958368042,766.9878758401596,89.5,2.0
